Epoch [1][880/1780], lr: 0.00000e+00, loss: 5.1882
Epoch [1][885/1780], lr: 0.00000e+00, loss: 5.1544
Epoch [1][890/1780], lr: 0.00000e+00, loss: 4.8434
Epoch [1][895/1780], lr: 0.00000e+00, loss: 5.4303
Epoch [1][900/1780], lr: 0.00000e+00, loss: 5.0553
Epoch [1][905/1780], lr: 0.00000e+00, loss: 5.2831
Epoch [1][910/1780], lr: 0.00000e+00, loss: 4.855
Epoch [1][915/1780], lr: 0.00000e+00, loss: 5.3352
Epoch [1][920/1780], lr: 0.00000e+00, loss: 4.9498
Epoch [1][925/1780], lr: 0.00000e+00, loss: 4.9087
Epoch [1][930/1780], lr: 0.00000e+00, loss: 5.0568
Epoch [1][935/1780], lr: 0.00000e+00, loss: 4.8613
Epoch [1][940/1780], lr: 0.00000e+00, loss: 5.2134
Epoch [1][945/1780], lr: 0.00000e+00, loss: 5.0007
Epoch [1][950/1780], lr: 0.00000e+00, loss: 5.0792
Epoch [1][955/1780], lr: 0.00000e+00, loss: 5.2818
Epoch [1][960/1780], lr: 0.00000e+00, loss: 5.2916
Epoch [1][965/1780], lr: 0.00000e+00, loss: 5.4351
Epoch [1][970/1780], lr: 0.00000e+00, loss: 4.9771
Epoch [1][975/1780], lr: 0.00000e+00, loss: 5.3785
Epoch [1][980/1780], lr: 0.00000e+00, loss: 5.0009
Epoch [1][985/1780], lr: 0.00000e+00, loss: 5.4113
Epoch [1][990/1780], lr: 0.00000e+00, loss: 5.3462
Epoch [1][995/1780], lr: 0.00000e+00, loss: 5.2115
Epoch [1][1000/1780], lr: 0.00000e+00, loss: 5.5251
Epoch [1][1005/1780], lr: 0.00000e+00, loss: 5.3362
Epoch [1][1010/1780], lr: 0.00000e+00, loss: 5.1085
Epoch [1][1015/1780], lr: 0.00000e+00, loss: 4.7078
Epoch [1][1020/1780], lr: 0.00000e+00, loss: 5.2164
Epoch [1][1025/1780], lr: 0.00000e+00, loss: 5.0255
Epoch [1][1030/1780], lr: 0.00000e+00, loss: 5.1098
Epoch [1][1035/1780], lr: 0.00000e+00, loss: 5.3764
Epoch [1][1040/1780], lr: 0.00000e+00, loss: 5.5754
Epoch [1][1045/1780], lr: 0.00000e+00, loss: 5.1955
Epoch [1][1050/1780], lr: 0.00000e+00, loss: 5.3129
Epoch [1][1055/1780], lr: 0.00000e+00, loss: 5.1991
Epoch [1][1060/1780], lr: 0.00000e+00, loss: 5.2686
Epoch [1][1065/1780], lr: 0.00000e+00, loss: 5.3589
Epoch [1][1070/1780], lr: 0.00000e+00, loss: 4.9592
Epoch [1][1075/1780], lr: 0.00000e+00, loss: 5.2243
Epoch [1][1080/1780], lr: 0.00000e+00, loss: 5.1628
Epoch [1][1085/1780], lr: 0.00000e+00, loss: 5.1779
Epoch [1][1090/1780], lr: 0.00000e+00, loss: 5.152
Epoch [1][1095/1780], lr: 0.00000e+00, loss: 4.9517
Epoch [1][1100/1780], lr: 0.00000e+00, loss: 5.2274
Epoch [1][1105/1780], lr: 0.00000e+00, loss: 4.9389
Epoch [1][1110/1780], lr: 0.00000e+00, loss: 5.1963
Epoch [1][1115/1780], lr: 0.00000e+00, loss: 5.464
Epoch [1][1120/1780], lr: 0.00000e+00, loss: 5.1103
Epoch [1][1125/1780], lr: 0.00000e+00, loss: 5.2174
Epoch [1][1130/1780], lr: 0.00000e+00, loss: 5.5046
Epoch [1][1135/1780], lr: 0.00000e+00, loss: 5.1046
Epoch [1][1140/1780], lr: 0.00000e+00, loss: 5.0837
Epoch [1][1145/1780], lr: 0.00000e+00, loss: 5.4311
Epoch [1][1150/1780], lr: 0.00000e+00, loss: 5.1327
Epoch [1][1155/1780], lr: 0.00000e+00, loss: 5.2237
Epoch [1][1160/1780], lr: 0.00000e+00, loss: 4.9563
Epoch [1][1165/1780], lr: 0.00000e+00, loss: 5.4018
Epoch [1][1170/1780], lr: 0.00000e+00, loss: 5.0615
Epoch [1][1175/1780], lr: 0.00000e+00, loss: 5.4241
