Epoch [1][525/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][530/1780], lr: 0.00000e+00, loss: 4.2915e-07
Epoch [1][535/1780], lr: 0.00000e+00, loss: 2.3842e-08
Epoch [1][540/1780], lr: 0.00000e+00, loss: 8.3103e-05
Epoch [1][545/1780], lr: 0.00000e+00, loss: 4.7684e-08
Epoch [1][550/1780], lr: 0.00000e+00, loss: 1.2636e-06
Epoch [1][555/1780], lr: 0.00000e+00, loss: 1.0729e-06
Epoch [1][560/1780], lr: 0.00000e+00, loss: 3.3379e-07
Epoch [1][565/1780], lr: 0.00000e+00, loss: 1.6569e-05
Epoch [1][570/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][575/1780], lr: 0.00000e+00, loss: 0.0022573
Epoch [1][580/1780], lr: 0.00000e+00, loss: 0.17548
Epoch [1][585/1780], lr: 0.00000e+00, loss: 2.3842e-07
Epoch [1][590/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][595/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][600/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][605/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][610/1780], lr: 0.00000e+00, loss: 7.391e-07
Epoch [1][615/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][620/1780], lr: 0.00000e+00, loss: 9.5367e-08
Epoch [1][625/1780], lr: 0.00000e+00, loss: 1.5663e-05
Epoch [1][630/1780], lr: 0.00000e+00, loss: 3.3379e-07
Epoch [1][635/1780], lr: 0.00000e+00, loss: 1.6689e-07
Epoch [1][640/1780], lr: 0.00000e+00, loss: 0.00015506
Epoch [1][645/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][650/1780], lr: 0.00000e+00, loss: 9.0599e-07
Epoch [1][655/1780], lr: 0.00000e+00, loss: 3.2663e-06
Epoch [1][660/1780], lr: 0.00000e+00, loss: 5.3167e-06
Epoch [1][665/1780], lr: 0.00000e+00, loss: 0.0079762
Epoch [1][670/1780], lr: 0.00000e+00, loss: 4.5299e-07
Epoch [1][675/1780], lr: 0.00000e+00, loss: 0.046094
Epoch [1][680/1780], lr: 0.00000e+00, loss: 0.39882
Epoch [1][685/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][690/1780], lr: 0.00000e+00, loss: 1.2016e-05
Epoch [1][695/1780], lr: 0.00000e+00, loss: 0.11233
Epoch [1][700/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][705/1780], lr: 0.00000e+00, loss: 0.00076574
Epoch [1][710/1780], lr: 0.00000e+00, loss: 1.7166e-06
Epoch [1][715/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][720/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][725/1780], lr: 0.00000e+00, loss: 6.4863e-05
Epoch [1][730/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][735/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][740/1780], lr: 0.00000e+00, loss: 0.0042053
Epoch [1][745/1780], lr: 0.00000e+00, loss: 3.8147e-07
Epoch [1][750/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][755/1780], lr: 0.00000e+00, loss: 0.0
